full_name,pha,diameter,rot_per,e [rad],a [au],I [deg],L [deg],long.node.  [deg],long.peri.  [deg],ma,n,per_y
679440 (2019 GT2),Y,,,0.5108,1.84,6.74,590.29,88.38,343.89,158.02,0.395,2.5
679648 (2019 XS),N,,2.35,0.3264,1.006,4.45,338.03,49.46,250.47,38.1,0.9772,1.01
679655 (2020 BS12),Y,,,0.7457,1.49,4.63,643.67,311.97,90.29,241.41,0.5418,1.82
679656 (2020 BP13),Y,,,0.3525,1.568,8.14,659.8,208.99,357.32,93.49,0.5021,1.96
679657 (2020 BE15),N,,,0.8956,1.61,16.54,503.27,164.33,193.46,145.48,0.4823,2.04
679757 (2020 KW7),N,,,0.6367,2.108,13.02,506.61,107.54,279.15,119.92,0.322,3.06
679786 (2020 QG3),Y,,,0.5654,2.089,7.43,529.63,186.56,229.76,113.31,0.3265,3.02
679814 (2020 TH5),Y,,,0.3985,1.425,4.6,556.66,175.77,326.46,54.43,0.5795,1.7
679885 (2021 NQ5),Y,,,0.4937,1.611,1.42,580.79,115.35,299.07,166.37,0.4818,2.05
688126 (2012 JS17),N,,,0.4198,1.217,15.65,726.13,63.97,307.45,354.71,0.7339,1.34
688841 (2013 AV60),N,,3.2,0.7321,2.064,7.38,355.48,197.6,150.8,7.08,0.3323,2.97
690253 (2014 DE80),N,,,0.8251,1.476,26.66,410.71,164.75,182.36,63.6,0.5498,1.79
696314 (2016 GN206),N,,,0.4718,1.584,20.19,688.07,11.78,319.99,356.3,0.4943,1.99
696513 (2016 NL56),Y,,,0.545,1.407,4.6,699.12,340.9,87.43,270.79,0.5908,1.67
699726 (2021 GR12),N,,,0.7394,2.087,13.73,558.79,186.81,239.73,132.25,0.3269,3.02
709992 (2013 LW28),N,,,0.5868,1.678,30.65,394.99,136.27,237.42,21.3,0.4535,2.17
710271 (2013 RK96),N,,,0.5042,1.58,11.09,318.8,8.71,139.65,170.44,0.4961,1.99
712200 (2014 SM143),Y,,2.91,0.4226,1.206,24.21,272.27,28.81,89.64,153.82,0.7445,1.32
719194 (2018 PL23),Y,,,0.787,1.567,14.35,813.84,178.29,293.68,341.87,0.5024,1.96
719979 (2022 QK204),N,,,0.8419,2.052,34.46,801.84,339.64,177.27,284.93,0.3352,2.94
