OBJECT_NAME,a [km],e [rad],I [deg],L [deg],long.peri.  [deg],long.node.  [deg],OBJECT_ID,EPOCH,MEAN_MOTION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTERCOSMOS 25,8017.467562,0.1498721,82.5981,631.7379,420.4464,263.9743,1991-086A,2024-10-05T10:47:17.084256,12.09335228,263.9743,156.4721,211.2915,0,U,21819,999,43374,6.18E-04,3.14E-05,0
SL-8 R/B,7356.740607,0.0035534,82.9233,767.7563,443.5957,295.3029,1992-008B,2024-10-04T13:16:04.302912,13.75860353,295.3029,148.2928,324.1606,0,U,21876,999,63775,3.43E-04,3.49E-06,0
SL-8 R/B,7358.226803,0.002829,82.9341,584.3047,494.5212,180.5706,1992-020B,2024-10-04T20:36:45.383040,13.75443535,180.5706,313.9506,89.7835,0,U,21938,999,62953,3.13E-04,3.17E-06,0
USA 81,7163.137195,0.0001067,85.0046,431.9904,172.7957,71.8591,1992-023A,2024-10-04T21:20:27.057984,14.32015166,71.8591,100.9366,259.1947,0,U,21949,999,2024,4.85E-04,1.32E-05,0
COSMOS 2219,7224.126853,0.0020467,71.0619,385.1192,299.3853,25.2409,1992-076A,2024-10-05T13:42:25.390944,14.13918823,25.2409,274.1444,85.7339,0,U,22219,999,64518,2.13E-04,3.57E-06,0
SL-16 R/B,7214.636637,0.0012597,71.0003,736.9641,382.2658,204.0015,1992-076B,2024-10-05T12:25:48.295776,14.16709568,204.0015,178.2643,354.6983,0,U,22220,999,64848,3.32E-04,6.17E-06,0
COSMOS 2221,6967.472942,0.0016062,82.5058,416.9223,193.2307,56.6734,1992-080A,2024-10-04T21:31:59.719008,14.92758611,56.6734,136.5573,223.6916,0,U,22236,999,70299,9.79E-04,1.02E-04,0
SL-16 R/B,7219.392454,0.0004109,71.0247,376.2522,365.256,16.1489,1992-093B,2024-10-05T12:22:41.174112,14.153099,16.1489,349.1071,10.9962,0,U,22285,999,63987,3.46E-04,6.26E-06,0
COSMOS 2228,6965.551606,0.0018234,82.5233,373.9688,263.5702,14.0425,1992-094A,2024-10-05T12:50:44.052576,14.93376284,14.0425,249.5277,110.3986,0,U,22286,999,71938,1.03E-03,1.09E-04,0
SL-16 R/B,7219.859784,0.0009183,71.0072,588.5206,250.557,228.3688,1993-016B,2024-10-05T03:39:24.958944,14.15172486,228.3688,22.1882,337.9636,0,U,22566,999,62853,1.25E-04,1.95E-06,0
COSMOS 2242,6966.904042,0.0016248,82.5224,403.5389,297.6873,43.596,1993-024A,2024-10-04T20:37:51.136896,14.92941457,43.596,254.0913,105.8516,0,U,22626,999,70289,9.91E-04,1.03E-04,0
SL-16 R/B,7213.374512,0.0019453,70.9925,389.4157,312.0685,29.5209,1993-059B,2024-10-04T18:38:55.829184,14.17081407,29.5209,282.5476,77.3472,0,U,22803,999,60573,3.54E-04,6.65E-06,0
ARIANE 40 R/B,7162.15662,0.0011152,98.5605,705.6365,374.3179,345.4566,1993-061H,2024-10-05T04:08:26.785536,14.32309263,345.4566,28.8613,331.3186,0,U,22830,999,61982,6.66E-04,1.76E-05,0
COSMOS 2278,7223.265606,0.0006334,71.0547,544.1354,291.0932,183.9538,1994-023A,2024-10-05T04:20:56.335776,14.14171708,183.9538,107.1394,253.0422,0,U,23087,999,57146,3.02E-04,5.28E-06,0
SL-16 R/B,7220.807682,0.0003931,70.9989,443.3863,413.158,83.2967,1994-023B,2024-10-05T11:25:05.124864,14.14893834,83.2967,329.8613,30.2283,0,U,23088,999,57277,1.54E-04,2.50E-06,0
SL-16 R/B,7012.477927,0.0008063,97.7758,719.22,429.2523,318.489,1994-074B,2024-10-05T04:31:41.328192,14.78411256,318.489,110.7633,289.9677,0,U,23343,999,61052,4.23E-04,3.03E-05,0
SL-16 R/B,7218.969615,0.000477,70.9854,366.7997,258.4765,6.7393,1994-077B,2024-10-05T12:26:29.187168,14.15434251,6.7393,251.7372,108.3232,0,U,23405,999,54289,1.66E-04,2.76E-06,0
ARIANE 40+ R/B,7139.632967,0.0005804,98.5167,766.4932,602.3025,344.9493,1995-021B,2024-10-05T04:44:56.264352,14.39092441,344.9493,257.3532,164.1907,0,U,23561,999,54458,6.97E-04,2.11E-05,0
SL-16 R/B,7219.145229,0.0013295,71.0224,553.0948,396.0734,193.042,1995-058B,2024-10-05T03:31:28.798176,14.15382603,193.042,203.0314,157.0214,0,U,23705,999,49449,2.57E-04,4.55E-06,0
SL-16 R/B,7229.115064,0.0015587,70.7925,555.8079,385.9764,195.7275,1996-051B,2024-10-05T11:45:36.502848,14.12455634,195.7275,190.2489,169.8315,0,U,24298,999,44845,9.06E-05,1.18E-06,0
ORBVIEW 2 (SEASTAR),7153.907399,0.0002779,98.7921,420.8267,198.3556,60.6868,1997-037A,2024-10-04T23:48:01.662624,14.34787386,60.6868,137.6688,222.4711,0,U,24883,999,43404,8.37E-04,2.33E-05,0
SL-16 R/B,7183.849005,0.0011004,98.7533,579.8923,306.0068,219.6486,1998-043G,2024-10-04T19:21:12.275712,14.25826651,219.6486,86.3582,273.8855,0,U,25400,999,36475,2.90E-04,6.45E-06,0
